variant,start,end,sessions,total_return,cagr,vol_ann,max_drawdown,n_calendar,n_band,turnover_1way_per_yr,cost_bps_per_yr
default,2025-01-02,2026-08-18,403,0.459219,0.262082,0.220643,-0.178523,6,3,0.304574,15.3
tilt,2025-01-02,2026-08-18,403,0.459219,0.262082,0.220643,-0.178523,6,3,0.304574,15.3
sector_cap,2025-01-02,2026-08-18,403,0.444331,0.254136,0.218164,-0.185611,6,4,0.350686,16.68
tactical,2025-01-02,2026-08-18,403,0.458936,0.261932,0.220086,-0.179233,6,3,0.302016,15.22
sector_cap_tactical,2025-01-02,2026-08-18,403,0.445535,0.254779,0.217779,-0.186336,6,4,0.351295,16.7
