anchor_date,group,kind,rating,multiplier,n_members,fcap,migrated_out,baseline_weight,uncapped_weight,weight,capped,full,realised_tilt
2026-09-11,Banks - Private,sector,AV,1.00000000,4,456861943900000.00000000,0.00000000,0.31130700,0.46008716,0.46008716,False,False,1.47792103
2026-09-11,Real Estate - Residential,sector,UW,0.50000000,2,193558074580000.00000000,0.00000000,0.27919025,0.20631057,0.20631057,False,False,0.73896051
2026-09-11,Financial Services,sector,AV,1.00000000,2,34788991080000.00000000,0.00000000,0.06306866,0.09321050,0.09321050,False,False,1.47792103
2026-09-11,Banks - State,sector,UW,0.75000000,1,34892998770000.00000000,0.00000000,0.06781042,0.07516383,0.07516383,False,False,1.10844077
2026-09-11,Consumer Retail,sector,OW,1.25000000,2,84371043500000.00000000,0.00000000,0.03815392,0.07048560,0.07048560,False,False,1.84740128
2026-09-11,Steel,sector,AV,1.00000000,1,107901086600000.00000000,0.00000000,0.03895265,0.05756894,0.05756894,False,False,1.47792103
2026-09-11,Logistics,sector,AV,1.00000000,4,45011846660000.00000000,0.00000000,0.01493070,0.02206640,0.02206640,False,False,1.47792103
2026-09-11,Construction Contractors,sector,AV,1.00000000,1,5034132582000.00000000,0.00000000,0.01022179,0.01510700,0.01510700,False,False,1.47792103
2026-09-11,Food - Staples & Beverage,sector,NO,0.00000000,5,157988154451000.00000000,0.00000000,0.05240563,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Technology,sector,NO,0.00000000,2,108112011616000.00000000,0.00000000,0.03586141,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Travel & Leisure,sector,NO,0.00000000,2,55759154360000.00000000,0.00000000,0.01849565,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Food - Agriculture,sector,NO,0.00000000,7,41593928698000.00000000,0.00000000,0.01379696,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Utilities,sector,NO,0.00000000,5,31927861513000.00000000,0.00000000,0.01059067,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Real Estate - Commercial,sector,NO,0.00000000,2,30311796423000.00000000,0.00000000,0.01005461,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Industrial,sector,NO,0.00000000,2,27496055418000.00000000,0.00000000,0.00912061,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Oil & Gas,sector,NO,0.00000000,3,24113381942000.00000000,0.00000000,0.00799856,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Real Estate - Industrial,sector,NO,0.00000000,3,23114230674000.00000000,0.00000000,0.00766713,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Chemicals,sector,NO,0.00000000,4,17993458582000.00000000,0.00000000,0.00596854,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Building Materials,sector,NO,0.00000000,3,8528481779000.00000000,0.00000000,0.00282895,0.00000000,0.00000000,False,False,0.00000000
2026-09-11,Insurance,sector,NO,0.00000000,1,4750865664000.00000000,0.00000000,0.00157589,0.00000000,0.00000000,False,False,0.00000000
