ticker,exchange,icb_l2,in_index,is_pick,open_adj,high_adj,low_adj,close_adj,open_raw,high_raw,low_raw,close_raw,volume,value,market_cap,free_float,free_float_ratio,outstanding_shares
ACB,HOSE,BANKS_L2,1,0,22650,22800,22600,22750,22650,22800,22600,22750,11011920,250338017400,132050599520000,4933758660,0.85,5804421960
ANV,HOSE,FOOD_AND_BEVERAGE_L2,1,0,17500,18300,17450,18050,17500,18300,17450,18050,1233774,22133110300,4805916290000,79876720,0.3,266255750
BAF,HOSE,FOOD_AND_BEVERAGE_L2,1,0,31200,31550,31000,31450,31200,31550,31000,31450,2297300,72027220950,11473743290000,255377430,0.7,364824910
BCM,HOSE,REAL_ESTATE_L2,1,0,41200,44000,40250,44000,41200,44000,40250,44000,1856763,78449259900,45540000000000,41400000,0.04,1035000000
BID,HOSE,BANKS_L2,1,0,36597.6,36972,36457.2,36738,39100,39500,38950,39250,2705307,106160707600,285742559490000,436803910,0.06,7280065210
BMP,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,149900,149900,148500,148500,149900,149900,148500,148500,49654,7386111600,12156349290000,36837420,0.45,81860940
BSI,HOSE,FINANCIAL_SERVICES_L2,1,0,29500,29500,28900,29000,29500,29500,28900,29000,372173,10854119850,7827144920000,37786220,0.14,269901550
BSR,HOSE,OIL_AND_GAS_L2,1,0,26150,26750,25900,26500,26150,26750,25900,26500,7421348,195648644750,132693441680000,400583970,0.08,5007299690
BVH,HOSE,INSURANCE_L2,1,0,65700,67000,65300,66800,65700,67000,65300,66800,369863,24648033100,49587160640000,74232280,0.1,742322760
BWE,HOSE,UTILITIES_L2,1,0,44000,44400,43900,44400,44000,44400,43900,44400,171250,7577545750,11159807730000,62836760,0.25,251347020
CII,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,14200,14550,14200,14200,14200,14550,14200,14200,6104933,87576204650,9542191130000,638386030,0.95,671985290
CMG,HOSE,TECHNOLOGY_L2,1,0,24900,25200,24600,24700,24900,25200,24600,24700,125089,3099657050,5752652430000,93160360,0.4,232900910
CTD,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,62600,64200,62600,63500,62600,64200,62600,63500,210227,13368435700,7100774470000,61502770,0.55,111823220
CTG,HOSE,BANKS_L2,1,0,32350,32450,32100,32200,32350,32450,32100,32200,5083885,164007774300,250095617310000,1165041700,0.15,7766944640
CTR,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,75500,76500,75000,76500,75500,76500,75000,76500,141981,10773143500,9800379270000,44838340,0.35,128109530
CTS,HOSE,FINANCIAL_SERVICES_L2,1,0,23100,23200,22800,22800,23100,23200,22800,22800,1089874,24980640750,6207184610000,68061230,0.25,272244940
DBC,HOSE,FOOD_AND_BEVERAGE_L2,1,0,16650,16800,16500,16700,16650,16800,16500,16700,977826,16292045900,7198476530000,301732550,0.7,431046500
DCM,HOSE,CHEMICALS_L2,1,0,31700,31700,31200,31350,31700,31700,31200,31350,1832155,57480383000,16596690000000,132350000,0.25,529400000
DGW,HOSE,RETAIL_L2,1,0,41200,41450,40550,41000,41200,41450,40550,41000,495741,20298762600,9067601000000,121638550,0.55,221161000
DIG,HOSE,REAL_ESTATE_L2,1,0,11000,11100,10850,10950,11000,11100,10850,10950,7148235,78479721550,8720921540000,756609630,0.95,796431190
DPM,HOSE,CHEMICALS_L2,1,0,22500,22500,22200,22300,22500,22500,22200,22300,1641350,36620658500,15162327970000,271970010,0.4,679925020
DSE,HOSE,FINANCIAL_SERVICES_L2,1,0,22700,22750,22550,22750,22700,22750,22550,22750,488635,11064306500,9742683090000,149887430,0.35,428249810
DXG,HOSE,REAL_ESTATE_L2,1,0,11050,11200,11050,11150,11050,11200,11050,11150,6436339,71531769450,14139370360000,1014483970,0.8,1268104960
EIB,HOSE,BANKS_L2,1,0,18150,18350,18100,18200,18150,18350,18100,18200,4980471,90732842600,33901515050000,1490176480,0.8,1862720610
EVF,HOSE,FINANCIAL_SERVICES_L2,1,0,12500,12600,12450,12500,12500,12600,12450,12500,876782,10973364600,9507072520000,722537510,0.95,760565800
F88,UPCOM,FINANCIAL_SERVICES_L2,0,1,66600,67500,66300,67129,66600,67500,66300,67300,168240,11293903700,15524595030000,34770220,0.1503,231265100
FPT,HOSE,TECHNOLOGY_L2,1,0,71200,71900,70600,70800,71200,71900,70600,70800,3700863,263424152300,121374310680000,1457177460,0.85,1714326420
FRT,HOSE,RETAIL_L2,1,0,148000,148500,145000,148000,148000,148500,145000,148000,934855,137234955300,26464627990000,98348280,0.55,178815050
FTS,HOSE,FINANCIAL_SERVICES_L2,1,0,22950,22950,22450,22450,22950,22950,22450,22450,595952,13491193250,8556722090000,152458300,0.4,381145750
GAS,HOSE,UTILITIES_L2,1,0,77500,80100,77200,80000,77500,80100,77200,80000,1437565,113266928400,193035980480000,120647490,0.05,2412949760
GEE,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,75100,77700,74400,75300,75100,77700,74400,75300,2200491,167095701600,48229590590000,89669890,0.14,640499210
GEX,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,26500,26700,26000,26150,26500,26700,26000,26150,9434407,248744850550,34216526010000,915929950,0.7,1308471360
GMD,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,77400,78200,76500,77200,77400,78200,76500,77200,875005,67411725000,33419301690000,411247880,0.95,432892510
GVR,HOSE,CHEMICALS_L2,1,0,31400,32650,31300,32250,31400,32650,31300,32250,3734965,119367100300,129000000000000,160000000,0.04,4000000000
HAG,HOSE,FOOD_AND_BEVERAGE_L2,1,0,14150,14300,14150,14150,14150,14300,14150,14150,862022,12238795500,17933699850000,633699640,0.5,1267399280
HCM,HOSE,FINANCIAL_SERVICES_L2,1,0,26650,26650,26150,26150,26650,26650,26150,26150,3317809,87478999800,35301083660000,742470210,0.55,1349945840
HDB,HOSE,BANKS_L2,1,0,26900,27400,26650,27200,26900,27400,26650,27200,12864523,348258700750,136143515990000,4004221060,0.8,5005276320
HDG,HOSE,REAL_ESTATE_L2,1,0,16750,17000,16400,16550,16750,17000,16400,16550,1566710,26041164600,6735143860000,244174400,0.6,406957330
HHV,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,10150,10500,10150,10300,10150,10500,10150,10300,5715512,59418903700,5917472450000,488335100,0.85,574511890
HPG,HOSE,BASIC_RESOURCES_L2,1,0,22000,22350,21950,22100,22000,22350,21950,22100,15952975,354242067450,186589515890000,5065778710,0.6,8442964520
HSG,HOSE,BASIC_RESOURCES_L2,1,0,10850,11050,10850,10900,10850,11050,10850,10900,1900208,20836829550,8799163470000,565083890,0.7,807262700
