ticker,exchange,icb_l2,in_index,is_pick,open_adj,high_adj,low_adj,close_adj,open_raw,high_raw,low_raw,close_raw,volume,value,market_cap,free_float,free_float_ratio,outstanding_shares
ACB,HOSE,BANKS_L2,1,0,22200,22300,22100,22150,22200,22300,22100,22150,7137322,158346276000,128567946350000,4933758660,0.85,5804421960
ANV,HOSE,FOOD_AND_BEVERAGE_L2,1,0,17350,17700,17000,17150,17350,17700,17000,17150,857028,14803581150,4566286110000,79876720,0.3,266255750
BAF,HOSE,FOOD_AND_BEVERAGE_L2,1,0,31250,31600,31150,31500,31250,31600,31150,31500,1753462,55039075250,11491984540000,255377430,0.7,364824910
BCM,HOSE,REAL_ESTATE_L2,1,0,45500,45500,42600,43050,45500,45500,42600,43050,1720752,74980057500,44556750000000,41400000,0.04,1035000000
BID,HOSE,BANKS_L2,1,0,36223.2,36410.4,35521.2,35802,38700,38900,37950,38250,4744826,182260841500,278462494280000,436803910,0.06,7280065210
BMP,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,149700,149700,146700,147200,149700,149700,146700,147200,122407,18089289500,12049930070000,36837420,0.45,81860940
BSI,HOSE,FINANCIAL_SERVICES_L2,1,0,28250,28450,28000,28100,28250,28450,28000,28100,315790,8903479600,7584233530000,37786220,0.14,269901550
BSR,HOSE,OIL_AND_GAS_L2,1,0,26450,26700,25350,25350,26450,26700,25350,25350,9800532,253555043050,126935047040000,400583970,0.08,5007299690
BVH,HOSE,INSURANCE_L2,1,0,65500,66400,64900,65000,65500,66400,64900,65000,397116,26073544300,48250979660000,74232280,0.1,742322760
BWE,HOSE,UTILITIES_L2,1,0,44900,44900,44100,44200,44900,44900,44100,44200,4416,195464250,11109538330000,62836760,0.25,251347020
CII,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,13900,14400,13750,13950,13900,14400,13750,13950,8454197,118188813950,9374194810000,638386030,0.95,671985290
CMG,HOSE,TECHNOLOGY_L2,1,0,24700,24700,23600,24000,24700,24700,23600,24000,169892,4067091750,5589405790000,93156760,0.4,232891910
CTD,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,62300,63000,62000,62000,62300,63000,62000,62000,247669,15453714600,6933039640000,61502770,0.55,111823220
