ticker,exchange,icb_l2,in_index,is_pick,open_adj,high_adj,low_adj,close_adj,open_raw,high_raw,low_raw,close_raw,volume,value,market_cap,free_float,free_float_ratio,outstanding_shares
CTG,HOSE,BANKS_L2,1,0,32150,32150,31350,31450,32150,32150,31350,31450,7931803,251330718150,244270408830000,1165041700,0.15,7766944640
CTR,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,75600,76000,74500,76000,75600,76000,74500,76000,276080,20792794100,9736324510000,44838340,0.35,128109530
CTS,HOSE,FINANCIAL_SERVICES_L2,1,0,22650,22900,22250,22400,22650,22900,22250,22400,1834575,41394275850,6098286630000,68061230,0.25,272244940
DBC,HOSE,FOOD_AND_BEVERAGE_L2,1,0,16450,16600,16250,16250,16450,16600,16250,16250,1007416,16505290050,7004505610000,301732550,0.7,431046500
DCM,HOSE,CHEMICALS_L2,1,0,30800,30900,30350,30500,30800,30900,30350,30500,2483738,76019840150,16146700000000,132350000,0.25,529400000
DGW,HOSE,RETAIL_L2,1,0,43000,43050,41600,41600,43000,43050,41600,41600,957744,40371493350,9200297600000,121638550,0.55,221161000
DIG,HOSE,REAL_ESTATE_L2,1,0,10750,11050,10550,10800,10750,11050,10550,10800,7859286,84682478700,8601456860000,756609630,0.95,796431190
DPM,HOSE,CHEMICALS_L2,1,0,21800,21900,21550,21550,21800,21900,21550,21550,2189597,47512179500,14652384200000,271970010,0.4,679925020
DSE,HOSE,FINANCIAL_SERVICES_L2,1,0,22400,22400,22050,22050,22400,22400,22050,22050,411028,9137043250,9442908220000,149887430,0.35,428249810
DXG,HOSE,REAL_ESTATE_L2,1,0,10850,11600,10750,11500,10850,11600,10750,11500,27736383,311871403450,14583207100000,1014483970,0.8,1268104960
EIB,HOSE,BANKS_L2,1,0,17500,17650,17100,17150,17500,17650,17100,17150,5247868,90919861550,31945658410000,1490176480,0.8,1862720610
EVF,HOSE,FINANCIAL_SERVICES_L2,1,0,12650,12750,12500,12600,12650,12750,12500,12600,1339250,16894100950,9583129110000,722537510,0.95,760565800
F88,UPCOM,FINANCIAL_SERVICES_L2,0,1,66800,67500,65600,66599,66800,67500,65600,65700,196001,13053266900,15402024530000,34770220,0.1503,231265100
FPT,HOSE,TECHNOLOGY_L2,1,0,69300,69600,68000,68300,69300,69600,68000,68300,7159127,492365335500,117088494620000,1457177460,0.85,1714326420
FRT,HOSE,RETAIL_L2,1,0,142100,144800,141800,142900,142100,144800,141800,142900,827171,118320784900,25552671220000,98348280,0.55,178815050
FTS,HOSE,FINANCIAL_SERVICES_L2,1,0,21850,22100,21500,21950,21850,22100,21500,21950,1218702,26578661700,8366149210000,152458300,0.4,381145750
GAS,HOSE,UTILITIES_L2,1,0,77800,79200,74900,76000,77800,79200,74900,76000,1672633,128155956000,183384181460000,120647490,0.05,2412949760
GEE,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,71000,71000,67000,67500,71000,71000,67000,67500,2228187,152990871900,43233696740000,89669890,0.14,640499210
GEX,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,25400,25550,24450,24650,25400,25550,24450,24650,14577402,362872410400,32253818970000,915929950,0.7,1308471360
GMD,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,78400,79800,78300,78700,78400,79800,78300,78700,1352800,106840040700,34068640460000,411247880,0.95,432892510
GVR,HOSE,CHEMICALS_L2,1,0,32250,32600,31200,31200,32250,32600,31200,31200,3667135,116354588100,124800000000000,160000000,0.04,4000000000
HAG,HOSE,FOOD_AND_BEVERAGE_L2,1,0,14050,14100,13850,14050,14050,14100,13850,14050,2365230,33097454950,17806959930000,633699640,0.5,1267399280
HCM,HOSE,FINANCIAL_SERVICES_L2,1,0,25700,25800,25200,25200,25700,25800,25200,25200,5078140,129191693000,34018635120000,742470210,0.55,1349945840
HDB,HOSE,BANKS_L2,1,0,26750,26900,26200,26450,26750,26900,26200,26450,8266798,219713252950,132389558740000,4004221060,0.8,5005276320
HDG,HOSE,REAL_ESTATE_L2,1,0,16300,16600,16200,16200,16300,16600,16200,16200,1251112,20413073750,6592708790000,244174400,0.6,406957330
HHV,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,10150,10200,10000,10050,10150,10200,10000,10050,2728978,27483683900,5773844470000,488335100,0.85,574511890
HPG,HOSE,BASIC_RESOURCES_L2,1,0,21700,21800,21200,21250,21700,21800,21200,21250,27497883,590178595000,179412996050000,5065778710,0.6,8442964520
HSG,HOSE,BASIC_RESOURCES_L2,1,0,10700,10750,10550,10550,10700,10750,10550,10550,1923647,20463067950,8516621530000,565083890,0.7,807262700
HT1,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,13300,13300,12800,13000,13300,13300,12800,13000,222191,2877882450,4960668840000,95397480,0.25,381589910
KBC,HOSE,REAL_ESTATE_L2,1,0,27400,27400,26650,26950,27400,27400,26650,26950,2064229,55557307800,25380290760000,612140590,0.65,941754760
KDC,HOSE,FOOD_AND_BEVERAGE_L2,1,0,51400,51500,50900,51400,51400,51500,50900,51400,39211,2015417200,14204148420000,124355380,0.45,276345300
KDH,HOSE,REAL_ESTATE_L2,1,0,17750,18250,17450,17700,17750,18250,17450,17700,5771360,102361232200,19863203710000,729439680,0.65,1122214900
KOS,HOSE,REAL_ESTATE_L2,1,0,34600,34950,34250,34950,34600,34950,34250,34950,222901,7692239700,7566022660000,86592530,0.4,216481340
LPB,HOSE,BANKS_L2,1,0,53700,54000,52000,52400,53700,54000,52000,52400,4374589,231344879300,156533582040000,2688553890,0.9,2987282100
MBB,HOSE,BANKS_L2,1,0,20150,20250,20000,20000,20150,20250,20000,20000,11953741,240200444050,201374997700000,5034374940,0.5,10068749880
MCH,HOSE,FOOD_AND_BEVERAGE_L2,1,0,136900,138900,135000,136800,136900,138900,135000,136800,321856,43922547800,178852997020000,261480990,0.2,1307404950
MSB,HOSE,BANKS_L2,1,0,16150,16200,15950,16150,16150,16200,15950,16150,9031118,145436912750,50388000000000,2184000000,0.7,3120000000
MSN,HOSE,FOOD_AND_BEVERAGE_L2,1,0,67400,67900,65800,66300,67400,67900,65800,66300,6330731,422133693700,96822836710000,876224770,0.6,1460374610
MSR,UPCOM,BASIC_RESOURCES_L2,0,1,39900,40300,39000,39779,39900,40300,39000,39900,1424665,56673026100,43954737670000,110497340,0.1,1104973420
MWG,HOSE,RETAIL_L2,1,0,73100,73500,72200,72400,73100,73500,72200,72400,3169054,230253342000,106845432770000,1106824230,0.75,1475765650
NAB,HOSE,BANKS_L2,1,0,11750,11800,11600,11700,11750,11800,11600,11700,1254809,14692812750,25258220700000,1727057820,0.8,2158822280
NKG,HOSE,BASIC_RESOURCES_L2,1,0,11000,11100,10750,10800,11000,11100,10750,10800,2029929,22060045200,5317098780000,369242970,0.75,492323960
NLG,HOSE,REAL_ESTATE_L2,1,0,22500,23650,22450,22800,22500,23650,22450,22800,3849807,88629007550,11060220330000,388077910,0.8,485097380
NT2,HOSE,UTILITIES_L2,1,0,21550,21550,21100,21200,21550,21550,21100,21200,487007,10361972250,6102971810000,86362810,0.3,287876030
NVL,HOSE,REAL_ESTATE_L2,1,0,13400,13700,13150,13250,13400,13700,13150,13250,15262626,204587163550,31827400630000,1321137380,0.55,2402067970
OCB,HOSE,BANKS_L2,1,0,10950,11000,10850,11000,10950,11000,10850,11000,3344223,36466623650,33687611390000,918753040,0.3,3062510130
PAN,HOSE,FOOD_AND_BEVERAGE_L2,1,0,20300,20600,20100,20100,20300,20600,20100,20100,481336,9801750150,5038530640000,112802920,0.45,250673170
PC1,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,20450,20600,20100,20500,20450,20600,20100,20500,1780212,36174423850,8431349530000,246771200,0.6,411285340
PDR,HOSE,REAL_ESTATE_L2,1,0,11850,12300,11700,11950,11850,12300,11700,11950,6204931,74208626450,11923822080000,598685630,0.6,997809380
PHR,HOSE,CHEMICALS_L2,1,0,58800,59100,58200,58300,58800,59100,58200,58300,222086,12998671500,7899603240000,47424720,0.35,135499200
PLX,HOSE,OIL_AND_GAS_L2,1,0,35600,36200,34800,35050,35600,36200,34800,35050,3465693,122038820150,44534257840000,127059220,0.1,1270592240
PNJ,HOSE,PERSONAL_AND_HOUSEHOLD_GOODS_L2,1,0,35350,37500,35250,36500,35350,37500,35250,36500,4781443,174081434900,18677851500000,460549760,0.9,511721960
POW,HOSE,UTILITIES_L2,1,0,13500,13500,13200,13250,13500,13500,13200,13250,8667007,115297446650,40648955370000,613569140,0.2,3067845690
PVD,HOSE,OIL_AND_GAS_L2,1,0,18550,18550,17900,17950,18550,18550,17900,17950,2979453,53890960100,16652972330000,463871100,0.5,927742190
PVT,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,20000,20400,19650,19950,20000,20400,19650,19950,6243021,125141201850,10312532810000,258459470,0.5,516918940
REE,HOSE,UTILITIES_L2,1,0,46600,46650,45800,45900,46600,46650,45800,45900,325443,14994195900,28591065750000,218014660,0.35,622899040
SAB,HOSE,FOOD_AND_BEVERAGE_L2,1,0,45850,46500,45300,45300,45850,46500,45300,45300,813912,37331111200,58100075450000,141081860,0.11,1282562370
SBT,HOSE,FOOD_AND_BEVERAGE_L2,1,0,23000,23500,23000,23300,23000,23500,23000,23300,1054434,24482997300,21119470480000,543849020,0.6,906415040
SHB,HOSE,BANKS_L2,1,0,11700,11750,11450,11750,11700,11750,11450,11750,47505471,551531623000,62788520100000,4007777880,0.75,5343703840
SIP,HOSE,REAL_ESTATE_L2,1,0,51400,51400,50000,50000,51400,51400,50000,50000,67082,3374356700,12105647150000,108950820,0.45,242112940
SJS,HOSE,REAL_ESTATE_L2,1,0,47350,47600,46550,47300,47350,47600,46550,47300,37625,1773532300,14070559360000,237979860,0.8,297474830
SSB,HOSE,BANKS_L2,1,0,15150,15350,14800,15050,15150,15350,14800,15050,2408590,36300233650,51603440000000,1885840000,0.55,3428800000
SSI,HOSE,FINANCIAL_SERVICES_L2,1,0,19942.535,19942.535,19422.99,19582.85,24950,24950,24300,24500,34046434,838982158850,61276894920000,1750768430,0.7,2501097750
STB,HOSE,BANKS_L2,1,0,73100,73500,72300,72300,73100,73500,72300,72300,2388762,173844388300,136301096270000,1790954930,0.95,1885215720
TAL,HOSE,REAL_ESTATE_L2,1,0,24350,24400,23500,23850,24350,24400,23500,23850,227252,5415247950,12020393040000,151199910,0.3,503999710
TCB,HOSE,BANKS_L2,1,0,31700,32150,31450,32000,31700,32150,31450,32000,15498227,493826156700,226759693250000,3897432230,0.55,7086240410
TCH,HOSE,REAL_ESTATE_L2,1,0,11800,12500,11550,11950,11800,12500,11550,11950,7131615,85223562400,10899705230000,547265530,0.6,912109220
TCX,HOSE,FINANCIAL_SERVICES_L2,1,0,39800,40000,39000,39150,39800,40000,39000,39150,1587871,62647420650,108619847670000,416168000,0.15,2774453320
TPB,HOSE,BANKS_L2,1,0,14500,14500,14350,14400,14500,14500,14350,14400,4199307,60620071500,39946274970000,1525725780,0.55,2774046870
VCB,HOSE,BANKS_L2,1,0,59500,59600,58500,58500,59500,59600,58500,58500,4818921,284154288100,488806993000000,919124260,0.11,8355675090
VCG,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,15800,15900,15700,15800,15800,15900,15700,15800,2117486,33433389100,11031184670000,383996930,0.55,698176240
VCI,HOSE,FINANCIAL_SERVICES_L2,1,0,21600,22100,21450,21800,21600,22100,21450,21800,9433446,204617231400,25118655960000,864173940,0.75,1152231920
VCK,HOSE,FINANCIAL_SERVICES_L2,1,0,29500,29850,29050,29600,29500,29850,29050,29600,2466096,72720027200,72073623240000,608729930,0.25,2434919700
VGC,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,40400,41000,40000,40300,40400,41000,40000,40300,659203,26609986600,18068505000000,53802000,0.12,448350000
VHC,HOSE,FOOD_AND_BEVERAGE_L2,1,0,55100,55800,54000,54400,55100,55800,54000,54400,385096,21046414000,11394251850000,83781260,0.4,209453160
VHM,HOSE,REAL_ESTATE_L2,1,0,71800,71800,68000,68200,71800,71800,68000,68200,12180828,845272796700,560250997350000,2464447200,0.3,8214824010
VIB,HOSE,BANKS_L2,1,0,14500,14650,14400,14400,14500,14650,14400,14400,4428478,64248769650,49017682220000,1872203140,0.55,3404005710
VIC,HOSE,REAL_ESTATE_L2,1,0,208000,208100,195000,200400,208000,208100,195000,200400,7993979,1617204649800,1555542160370000,2328655930,0.3,7762186430
VIX,HOSE,FINANCIAL_SERVICES_L2,1,0,13650,13800,13300,13450,13650,13800,13300,13450,73424928,994766397350,32956370530000,2450287770,1,2450287770
VJC,HOSE,TRAVEL_AND_LEISURE_L2,1,0,124300,125000,121700,123200,124300,125000,121700,123200,1319056,162630300000,94752252800000,269182540,0.35,769092960
VND,HOSE,FINANCIAL_SERVICES_L2,1,0,16550,16650,16150,16250,16550,16650,16150,16250,11551997,189102720750,24737373500000,1141724930,0.75,1522299910
VNM,HOSE,FOOD_AND_BEVERAGE_L2,1,0,61600,62600,61000,61600,61600,62600,61000,61600,3670453,226615764300,128741255410000,835982180,0.4,2089955440
VPB,HOSE,BANKS_L2,1,0,25100,25350,24850,25100,25100,25350,24850,25100,13934890,349566879950,199141482390000,4363657980,0.55,7933923600
VPI,HOSE,REAL_ESTATE_L2,1,0,60700,61100,60000,60800,60700,61100,60000,60800,2843749,172380978800,19459014280000,160024790,0.5,320049580
VPL,HOSE,TRAVEL_AND_LEISURE_L2,1,0,77000,77000,74500,74500,77000,77000,74500,74500,635426,48074514700,133600878090000,268995060,0.15,1793300380
VPX,HOSE,FINANCIAL_SERVICES_L2,1,0,25100,25250,24500,24650,25100,25250,24500,24650,1505019,37454586250,46218750000000,375000000,0.2,1875000000
VRE,HOSE,REAL_ESTATE_L2,1,0,24500,24600,23650,23950,24500,24600,23650,23950,8636015,207891398550,54422025920000,908927360,0.4,2272318410
VSC,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,14300,15100,14300,14600,14300,15100,14300,14600,16151502,237494464200,5465807290000,355651840,0.95,374370360
VTP,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,53800,53800,51600,53500,53800,53800,51600,53500,909078,47799315100,10800856650000,80754070,0.4,201885170
