ticker,exchange,icb_l2,in_index,is_pick,open_adj,high_adj,low_adj,close_adj,open_raw,high_raw,low_raw,close_raw,volume,value,market_cap,free_float,free_float_ratio,outstanding_shares
NT2,HOSE,UTILITIES_L2,1,0,21800,21800,21450,21550,21800,21800,21450,21550,386288,8348732250,6203728420000,86362810,0.3,287876030
NVL,HOSE,REAL_ESTATE_L2,1,0,13600,13750,13400,13400,13600,13750,13400,13400,16405810,223012707250,32187710820000,1321137380,0.55,2402067970
OCB,HOSE,BANKS_L2,1,0,10900,11100,10800,11000,10900,11100,10800,11000,3198405,35067196350,33687611390000,918753040,0.3,3062510130
PAN,HOSE,FOOD_AND_BEVERAGE_L2,1,0,20700,20750,20300,20500,20700,20750,20300,20500,938464,19236603750,5138799900000,112802920,0.45,250673170
PC1,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,20900,20900,20500,20700,20900,20900,20500,20700,1163618,23995170200,8513606600000,246771200,0.6,411285340
PDR,HOSE,REAL_ESTATE_L2,1,0,12150,12250,11800,11950,12150,12250,11800,11950,6997174,83969538750,11923822080000,598685630,0.6,997809380
PHR,HOSE,CHEMICALS_L2,1,0,58600,59600,58600,59000,58600,59600,58600,59000,221152,13069362300,7994452680000,47424720,0.35,135499200
PLX,HOSE,OIL_AND_GAS_L2,1,0,36650,36850,35300,35600,36650,36850,35300,35600,2356983,85353606750,45233083570000,127059220,0.1,1270592240
PNJ,HOSE,PERSONAL_AND_HOUSEHOLD_GOODS_L2,1,0,35600,35750,35150,35300,35600,35750,35150,35300,2478741,87759148100,18063785150000,460549760,0.9,511721960
POW,HOSE,UTILITIES_L2,1,0,13750,13750,13500,13500,13750,13750,13500,13500,7033533,95474125600,41415916790000,613569140,0.2,3067845690
PVD,HOSE,OIL_AND_GAS_L2,1,0,18700,18750,18300,18300,18700,18750,18300,18300,1977052,36653005800,16977682100000,463871100,0.5,927742190
PVT,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,20050,20600,19800,20000,20050,20600,19800,20000,5711093,115720457300,10338378760000,258459470,0.5,516918940
REE,HOSE,UTILITIES_L2,1,0,47400,47700,46600,46600,47400,47700,46600,46600,354464,16644999150,29027095080000,218014660,0.35,622899040
SAB,HOSE,FOOD_AND_BEVERAGE_L2,1,0,46250,46300,45550,45850,46250,46300,45550,45850,688808,31659526850,58805484760000,141081860,0.11,1282562370
SBT,HOSE,FOOD_AND_BEVERAGE_L2,1,0,21600,23000,21600,23000,21600,23000,21600,23000,1528380,34291270500,20847545970000,543849020,0.6,906415040
SHB,HOSE,BANKS_L2,1,0,11850,11950,11650,11800,11850,11950,11650,11800,60159968,709092813950,63055705290000,4007777880,0.75,5343703840
SIP,HOSE,REAL_ESTATE_L2,1,0,51200,51600,50800,50900,51200,51600,50800,50900,82726,4247744500,12323548800000,108950820,0.45,242112940
